 264, -119, 856
282,-120,862
277,-125,864
273,-125,862
230,-130,857
219,-134,861
211,-128,864
217,-117,868
198,-117,868
204,-101,862
225,-106,867
232,-103,855
225,-93,855
211,-96,853
207,-99,856
205,-99,861
206,-103,867
207,-107,863
216,-108,864
212,-114,861
206,-98,867
199,-93,876
209,-106,869
195,-102,858
186,-104,868
186,-104,861
181,-114,868
188,-109,868
186,-109,875
180,-113,867
184,-114,868
191,-102,870
181,-109,870
191,-90,870
190,-91,864
199,-106,867
194,-93,867
206,-86,871
207,-80,866
192,-91,871
201,-93,869
187,-130,867
193,-104,877
190,-108,876
186,-95,870
198,-90,868
200,-85,866
198,-65,873
178,-59,862
179,-50,858
186,-40,866
186,-33,863
187,-22,857
182,-7,839
197,7,836
203,23,835
190,39,827
204,56,817
197,79,801
187,81,794
199,98,775
195,107,769
182,120,761
188,132,751
198,141,734
191,146,713
195,176,692
199,170,686
205,183,662
188,196,645
201,192,625
195,196,608
188,201,575
185,207,560
185,199,555
182,202,546
171,209,527
156,204,532
157,213,530
160,203,516
156,197,503
148,203,481
159,199,480
148,193,462
147,187,440
156,165,417
153,166,394
144,165,389
148,156,373
153,141,348
150,132,338
156,108,314
157,104,296
159,83,292
155,67,270
143,50,251
149,32,250
146,13,228
147,2,248
135,-9,227
124,-43,223
110,-60,214
111,-81,210
91,-92,212
68,-101,215
59,-101,220
42,-108,232
22,-102,237
-2,-101,236
3,-99,244
-16,-96,262
-26,-93,257
-15,-95,266
-33,-86,267
-51,-87,280
-67,-92,296
-89,-102,319
-92,-101,330
-109,-93,342
-110,-102,357
-123,-111,377
-133,-111,396
-142,-116,407
-142,-111,433
-159,-111,452
-156,-118,478
-154,-118,513
-161,-108,527
-154,-103,560
-157,-99,573
-152,-98,592
-152,-93,604
-147,-96,618
-147,-108,614
-141,-107,633
-143,-99,641
-135,-120,658
-135,-113,665
-123,-118,684
-110,-109,697
-92,-123,714
-87,-108,733
-61,-111,775
-40,-116,775
-11,-125,794
-9,-120,801
17,-129,819
32,-124,828
53,-122,833
57,-111,843
81,-102,842
79,-95,844
89,-92,840
97,-88,843
103,-90,842
118,-83,846
143,-72,851
163,-86,855
185,-79,850
192,-69,850
207,-77,844
222,-80,851
249,-66,836
290,-80,826
301,-81,827
318,-96,813
326,-109,809
333,-102,807
343,-117,802
350,-127,793
352,-124,793
353,-120,785
361,-135,796
358,-135,785
371,-149,779
371,-151,781
364,-151,776
369,-159,774
368,-145,775
363,-140,789
365,-148,787
362,-164,774
358,-167,787
345,-181,788
339,-180,794
319,-196,798
319,-188,805
306,-182,808
279,-191,821
275,-202,820
258,-197,827
260,-193,819
251,-195,829
237,-197,836
210,-201,835
182,-199,836
168,-204,846
137,-195,836
121,-209,843
104,-190,846
78,-199,841
64,-207,834
41,-201,833
23,-197,820
11,-187,815
-16,-175,796
-35,-167,794
-47,-155,778
-71,-165,757
-97,-160,745
-103,-159,725
-109,-153,703
-118,-150,698
-140,-148,672
-146,-141,648
-142,-140,635
-159,-138,621
-165,-141,605
-168,-138,583
-168,-143,564
-176,-139,554
-166,-138,510
-185,-150,494
-174,-137,469
-174,-149,446
-162,-149,439
-159,-153,419
-148,-149,411
-147,-145,393
-147,-143,389
-141,-159,369
-128,-153,360
-112,-154,336
-111,-153,328
-89,-161,301
-73,-153,288
-78,-148,281
-54,-162,274
-46,-161,258
-28,-167,253
-30,-175,243
-15,-174,247
9,-158,229
4,-172,232
28,-167,217
45,-167,213
38,-165,213
34,-164,219
38,-155,217
47,-158,217
36,-151,212
40,-138,215
40,-123,208
47,-113,217
52,-108,210
58,-107,214
65,-97,205
71,-74,217
71,-79,215
73,-61,217
77,-53,214
91,-45,214
109,-39,217
112,-16,230
110,-16,230
111,39,243
116,32,250
119,55,254
128,69,271
123,74,274
125,91,281
109,118,307
114,133,316
112,139,333
108,141,341
122,146,348
115,166,359
124,178,373
117,188,387
115,196,404
111,212,424
121,222,438
117,218,465
118,222,468
125,232,496
111,229,513
119,228,540
110,228,561
119,235,589
112,220,612
110,216,643
119,216,659
127,191,704
118,175,724
135,153,752
138,134,774
127,117,781
138,99,793
136,90,805
131,87,802
